CODE,Omschrijving
15119600-1,Visvlees
15130000-8,Vleesproducten
15131000-5,Vleesconserven en -producten
15131100-6,Worstvleesproducten
15131110-9,Worstvlees
15131120-2,Worstproducten
15131130-5,Worsten
15131134-3,Bloedworst en dergelijke
15131135-0,Pluimveeworsten
15131200-7,"Gedroogd, gepekeld, gerookt of gekruid vlees"
15131210-0,Achterham
15131220-3,Bacon
15131230-6,Salami
15131300-8,Leverproducten
15131310-1,Pâté
15131320-4,Producten van ganzen- of eendenlever
15131400-9,Varkensproducten
15131410-2,Ham
15131420-5,Gehaktballen
15131490-6,Bereide varkensschotels
15131500-0,Pluimveeproducten
15131600-1,Rund- en kalfsvleesproducten
15131610-4,Gehaktballen van rundvlees
15131620-7,Gehakt rundvlees
15131640-3,Biefburgers
15131700-2,Vleesgerechten
15200000-0,Toebereide en geconserveerde vis
15210000-3,"Visfilets, vissenlevers, hom en kuit"
15211000-0,Visfilets
15211100-1,Verse visfilets
15212000-7,Hom en kuit
15213000-4,Vissenlevers
15220000-6,"Ingevroren vis, visfilets en ander visvlees"
15221000-3,Ingevroren vis
15229000-9,Ingevroren visproducten
15230000-9,Gedroogde of gezouten vis; gepekelde vis; gerookte vis
15231000-6,Gedroogde vis
15232000-3,Gezouten vis
15233000-0,Gepekelde vis
15234000-7,Gerookte vis
15235000-4,Geconserveerde vis
15240000-2,Ingeblikte en andere bereide of geconserveerde vis
15241000-9,Gepaneerde of ingeblikte vis
15241100-0,Ingeblikte zalm
15241200-1,Bereide of geconserveerde haring
15241300-2,Sardines
15241400-3,Ingeblikte tonijn
15241500-4,Makreel
15241600-5,Ansjovis
15241700-6,Vissticks
15241800-7,Gepaneerde visbereidingen
15242000-6,Bereide visgerechten
15243000-3,Visbereidingen
15244000-0,Kaviaar en visseneieren
15244100-1,Kaviaar
15244200-2,Visseneieren
15250000-5,Zeevruchten
15251000-2,Ingevroren schaaldieren
15252000-9,Bereide of geconserveerde schaaldieren
15253000-6,Schelpdierproducten
15300000-1,"Groenten, fruit en aanverwante producten"
15310000-4,Aardappelen en aardappelproducten
15311000-1,Ingevroren aardappelen
15311100-2,Friet
15311200-3,"Blokjes, schijfjes en andere ingevroren aardappelen"
15312000-8,Aardappelproducten
15312100-9,Instantaardappelpuree
15312200-0,Voorgebakken friet
15312300-1,Aardappelchips
15312310-4,Aardappelchips met toegevoegde smaak
15312400-2,Aardappelsnacks
15312500-3,Aardappelkroketten
15313000-5,Verwerkte aardappelen
15320000-7,Vruchten- en groentensappen
15321000-4,Vruchtensappen
15321100-5,Sinaasappelsap
15321200-6,Grapefruitsap
15321300-7,Citroensap
15321400-8,Ananassap
15321500-9,Druivensap
15321600-0,Appelsap
15321700-1,Mixen van ongeconcentreerde sappen
15321800-2,Geconcentreerde sappen
15322000-1,Groentensappen
15322100-2,Tomatensap
15330000-0,Verwerkte groenten en fruit
15331000-7,Verwerkte groenten
15331100-8,Verse of ingevroren groenten
15331110-1,Verwerkte wortelgewassen
15331120-4,Verwerkte knolgewassen
